#Land effect

name	flash_fall_land
type	none
lifespan 2
shadow	0

onspawnscript 	data/scripts/spaw0003.c
onkillscript	data/scripts/kill0001.c

palette		data/chars/misc/dust/0_0.png
alternatepal	data/chars/misc/effects/wate0001


anim idle

	#Normal dust.

	delay	5
	offset	75 40
		frame	data/chars/misc/dust/0_0.png
		frame	data/chars/misc/dust/0_1.png
		frame	data/chars/misc/dust/0_2.png
		frame	data/chars/misc/dust/0_3.png
		frame	data/chars/misc/dust/0_4.png
		frame	data/chars/misc/dust/0_5.png
		frame	data/chars/misc/dust/0_6.png

anim follow1

	#Water fatality splash.

	delay	12
	offset	85 90
		frame	data/chars/misc/effects/wate0001
		frame	data/chars/misc/effects/wate0002
		frame	data/chars/misc/effects/wate0003
		frame	data/chars/misc/effects/wate0004
		frame	data/chars/misc/effects/wate0005
		frame	data/chars/misc/effects/wate0006

