name	     	Poppy
type	     	npc
subtype			follow
bounce	     	2
health	     	200
speed	     	12
running      	30 4 2 0 0
#turndelay    	15
makeinv      	3
projectilehit 	player obstacle
candamage     	enemy obstacle
hostile			none
gfxshadow    	1
dust		flash_fall_land flash_jump_land flash_jump_liftoff

palette	       data/chars/poppy/idle_0.png

anim idle

	#Ready stance.

	loop 	1
	delay	4
	offset	135 192
	bbox 	0
	range	75 500
	rangez	0 500
		
	frame	data/chars/poppy/idle_0.png
	frame	data/chars/poppy/idle_1.png

anim walk

	loop 	1
	delay	6
	offset	135 192
	bbox 	0

	frame	data/chars/poppy/walk_0.png
	frame	data/chars/poppy/walk_1.png
	frame	data/chars/poppy/walk_2.png
	frame	data/chars/poppy/walk_3.png
	frame	data/chars/poppy/walk_4.png
	frame	data/chars/poppy/walk_5.png
	frame	data/chars/poppy/walk_6.png
	frame	data/chars/poppy/walk_7.png

anim backwalk

	loop 	1
	delay	6
	offset	135 192
	bbox 	0

	frame	data/chars/poppy/walk_back_0.png
	frame	data/chars/poppy/walk_back_1.png
	frame	data/chars/poppy/walk_back_2.png
	frame	data/chars/poppy/walk_back_3.png
	frame	data/chars/poppy/walk_back_4.png
	frame	data/chars/poppy/walk_back_5.png
	frame	data/chars/poppy/walk_back_6.png
	frame	data/chars/poppy/walk_back_7.png

anim run

	loop 	1
	delay	3
	offset	135 192
	bbox 	0

	frame	data/chars/poppy/walk_0.png
	frame	data/chars/poppy/walk_1.png
	frame	data/chars/poppy/walk_2.png
	frame	data/chars/poppy/walk_3.png
	frame	data/chars/poppy/walk_4.png
	frame	data/chars/poppy/walk_5.png
	frame	data/chars/poppy/walk_6.png
	frame	data/chars/poppy/walk_7.png

anim turn

	delay	8
	offset	135 192
	bbox 	0

	frame	data/chars/poppy/turn_3.png
	frame	data/chars/poppy/turn_2.png
	frame	data/chars/poppy/turn_1.png
	frame	data/chars/poppy/turn_0.png

