#*****icons*****

icon         data/chars/raiden/aaic0001 					#(Path) Icon displayed next to life bar.
icondie	     data/chars/raiden/aaic0002 					#(Path) Player icon displayed upon death.
iconpain     data/chars/raiden/aaic0003 					#(Path) Player icon displayed when hit.


name		Raiden
type		player
health		100
speed		11
running      	18 4 2 1 1
type		player
shadow		0
score		1
knockdowncount	3
antigravity	-50
projectilehit   enemy obstacle
holdblock	1
blockpain	1
atchain		1 
grabturn 	1
 
animationscript 	data/chars/raiden/scripts/ani_p.c
didblockscript  	data/scripts/common/event_block.c
takedamagescript	data/scripts/dama0001.c 
didhitscript		data/scripts/common/event_hit.c
onmovezscript		data/scripts/common/event_move_z.c
onspawnscript		data/scripts/common/event_spawn_level_items.c 

palette 		data/chars/raiden/aapa0000
alternatepal		data/chars/raiden/aapa0011

#*****Commands*****************************************************************************

com          a2       	freespecial  		#Back dash
#com          f u a    	freespecial2  		#Force plane up.
#com          f d a    	freespecial3  		#Froce plane down.
#com	     d u a    	freespecial4		#Plane attack up.
#com	     u d a    	freespecial5		#Plane attack down.

anim waiting

	delay	1
	offset	100 272
	fshadow 0	
		frame	data/chars/misc/blank.png
	offset	100 122
		frame	data/chars/raiden/aawa0001
	offset	100 132
		frame	data/chars/raiden/aawa0001
	offset	100 142
		frame	data/chars/raiden/aawa0001
	offset	100 152
		frame	data/chars/raiden/aawa0001
	offset	100 162
		frame	data/chars/raiden/aawa0001
	offset	100 172
		frame	data/chars/raiden/aawa0001
	offset	100 182
		frame	data/chars/raiden/aawa0001
	offset	100 192
		frame	data/chars/raiden/aawa0001
	offset	100 202
		frame	data/chars/raiden/aawa0001
	offset	100 212
		frame	data/chars/raiden/aawa0001
	offset	100 222
		frame	data/chars/raiden/aawa0001
	offset	100 232
		frame	data/chars/raiden/aawa0001
	offset	100 242
		frame	data/chars/raiden/aawa0001
	offset	100 252
		frame	data/chars/raiden/aawa0001
	offset	100 262
		frame	data/chars/raiden/aawa0001
	offset	100 272	
	sound	data/sounds/vrai0018.wav
		frame	data/chars/raiden/aawa0002					

anim select

	delay	8
	offset	100 272
	fshadow 0
		frame	data/chars/raiden/aase0001
		frame	data/chars/raiden/aase0002
	sound	data/sounds/vrai0020.wav
		frame	data/chars/raiden/aase0003	
		frame	data/chars/raiden/aase0004
		frame	data/chars/raiden/aase0005
		frame	data/chars/raiden/aase0006
	delay	14	
		frame	data/chars/raiden/aase0007
		frame	data/chars/raiden/aase0008
		frame	data/chars/raiden/aase0009
		frame	data/chars/raiden/aase0010
	delay	50
		frame	data/chars/raiden/aase0011
		
		


anim idle
	
	loop	1
	offset	120 190
	bbox 	95 75 50 120
	delay	12
		frame	data/chars/raiden/raid0007 
		frame	data/chars/raiden/raid0008
		frame	data/chars/raiden/raid0009
		frame	data/chars/raiden/raid0010
		frame	data/chars/raiden/raid0009
		frame	data/chars/raiden/raid0008

anim walk
	
	loop	1
	offset	120 190
	bbox 	95 75 50 120
	delay	12
		frame	data/chars/raiden/raid0365
		frame	data/chars/raiden/raid0366
		frame	data/chars/raiden/raid0367
		frame	data/chars/raiden/raid0368
		frame	data/chars/raiden/raid0369
		frame	data/chars/raiden/raid0370
		frame	data/chars/raiden/raid0367
		frame	data/chars/raiden/raid0366

anim backwalk

	loop	1
	offset	120 190
	bbox 	95 75 50 120
	delay	12
		frame	data/chars/raiden/raid0364
		frame	data/chars/raiden/raid0363
		frame	data/chars/raiden/raid0362
		frame	data/chars/raiden/raid0361
		frame	data/chars/raiden/raid0360
		frame	data/chars/raiden/raid0359
		frame	data/chars/raiden/raid0358
		frame	data/chars/raiden/raid0357

anim run

	loop	1
	offset	120 190
	bbox 	95 75 50 120
	delay	10
		frame	data/chars/raiden/raid0330
		frame	data/chars/raiden/raid0329
		frame	data/chars/raiden/raid0328
